Bait,Preys,Preys_NewName,PreyGene,MIST,BFDR,AvgSpec,FoldChange,Abundance
SARS-CoV2 M,Q8N0U8,9606.ENSP00000403077,VKORC1L1,0.615214886,0.0,4.0,40.0,0.001717661
SARS-CoV2 M,Q8NEW0,9606.ENSP00000359130,SLC30A7,0.766972437,0.0,4.67,46.67,0.000942453
SARS-CoV2 M,Q8WUD6,9606.ENSP00000229266,CHPT1,0.635974009,0.05,2.0,20.0,0.000371284
SARS-CoV2 M,Q92604,9606.ENSP00000355964,LPGAT1,0.652520995,0.04,2.33,23.33,0.000482373
SARS-CoV2 M,Q96CW5,9606.ENSP00000261965,TUBGCP3,0.753607002,0.0,7.67,76.67,0.000643828
SARS-CoV2 M,Q96D53,9606.ENSP00000315118,COQ8B,0.80074032,0.0,3.33,33.33,0.000468473
SARS-CoV2 M,Q96ER3,9606.ENSP00000432487,SAAL1,0.769472929,0.0,3.33,33.33,0.000539398
SARS-CoV2 M,Q96HR9,9606.ENSP00000233596,REEP6,0.955657163,0.05,2.33,23.33,0.000833576
SARS-CoV2 M,Q96HW7,9606.ENSP00000434466,INTS4,0.943304706,0.05,2.67,26.67,0.000207652
SARS-CoV2 M,Q9BQT8,9606.ENSP00000329452,SLC25A21,0.880779937,0.05,2.0,20.0,0.000515977
SARS-CoV2 M,Q9BSJ2,9606.ENSP00000446093,TUBGCP2,0.83958055,0.0,13.0,130.0,0.00109588
SARS-CoV2 M,Q9BW92,9606.ENSP00000358060,TARS2,0.758110505,0.0,2.67,26.67,0.00027982
SARS-CoV2 M,Q9BXW7,9606.ENSP00000337358,HDHD5,0.671715468,0.05,2.67,26.67,0.000472739
SARS-CoV2 M,Q9BXW9,9606.ENSP00000287647,FANCD2,0.637302539,0.0,11.0,110.0,0.000576217
SARS-CoV2 M,Q9NQC3,9606.ENSP00000337838,RTN4,0.873826097,0.0,10.67,106.67,0.000682599
SARS-CoV2 M,Q9NRX5,9606.ENSP00000342962,SERINC1,0.651685453,0.0,3.0,30.0,0.000499015
SARS-CoV2 M,Q9NUQ2,9606.ENSP00000285518,AGPAT5,0.666941644,0.0,2.33,23.33,0.000492913
SARS-CoV2 M,Q9UBU6,9606.ENSP00000259963,FAM8A1,0.80448832,0.0,2.33,23.33,0.000434431
SARS-CoV2 M,Q9UDR5,9606.ENSP00000377040,AASS,0.765109504,0.0,3.0,30.0,0.000249972
SARS-CoV2 M,Q9UI26,9606.ENSP00000386992,IPO11,0.649385462,0.0,4.0,40.0,0.000311873
SARS-CoV2 M,Q9ULX6,9606.ENSP00000380557,AKAP8L,0.751981385,0.0,4.67,46.67,0.000552744
SARS-CoV2 M,Q9Y312,9606.ENSP00000363043,AAR2,0.801486724,0.0,4.33,43.33,0.000848134
SARS-CoV2 M,Q9Y5L0,9606.ENSP00000265388,TNPO3,0.600814124,0.0,4.67,46.67,0.000390691
SARS-CoV2 M,Q9Y5Y0,9606.ENSP00000355938,FLVCR1,0.640982121,0.05,2.33,23.33,0.000313513
SARS-CoV2 M,Q9Y6E2,9606.ENSP00000397249,BZW2,0.756364362,0.0,2.33,23.33,0.000421742
SARS-CoV2 N,O43818,9606.ENSP00000232888,RRP9,0.861168798,0.0,13.0,130.0,0.002711082
SARS-CoV2 N,O75683,9606.ENSP00000361092,SURF6,0.608432617,0.0,3.33,33.33,0.000927227
SARS-CoV2 N,P11940,9606.ENSP00000313007,PABPC1,0.736635929,0.0,7.33,73.33,0.001139771
SARS-CoV2 N,P16989,9606.ENSP00000228251,YBX3,0.654394207,0.0,5.33,53.33,0.001451304
SARS-CoV2 N,P19784,9606.ENSP00000262506,CSNK2A2,0.875048268,0.0,7.0,70.0,0.001985337
SARS-CoV2 N,P67870,9606.ENSP00000365042,CSNK2B,0.803607895,0.0,2.33,23.33,0.001088232
SARS-CoV2 N,Q13283,9606.ENSP00000377681,G3BP1,0.95331626,0.0,54.67,150.33,0.011866679
SARS-CoV2 N,Q13310,9606.ENSP00000361949,PABPC4,0.846200046,0.0,10.0,100.0,0.001552128
SARS-CoV2 N,Q6PKG0,9606.ENSP00000336721,LARP1,0.73787466,0.0,8.67,86.67,0.000772092
SARS-CoV2 N,Q8NCA5,9606.ENSP00000238823,FAM98A,0.921076719,0.0,3.67,36.67,0.000747738
SARS-CoV2 N,Q8TAD8,9606.ENSP00000296215,SNIP1,0.818230245,0.0,6.67,66.67,0.001651923
SARS-CoV2 N,Q92900,9606.ENSP00000470142,UPF1,0.753067271,0.0,5.67,56.67,0.000488022
SARS-CoV2 N,Q9H7E9,9606.ENSP00000330361,C8orf33,0.618938219,0.0,2.67,26.67,0.001152822
SARS-CoV2 N,Q9HCE1,9606.ENSP00000399797,MOV10,0.736672944,0.0,3.33,33.33,0.000325498
SARS-CoV2 N,Q9NR30,9606.ENSP00000346120,DDX21,0.613544528,0.0,36.67,28.81,0.004666776
SARS-CoV2 N,Q9NW13,9606.ENSP00000223073,RBM28,0.628043125,0.0,10.0,100.0,0.001304484
SARS-CoV2 N,Q9UN86,9606.ENSP00000352738,G3BP2,0.958133672,0.0,35.33,194.33,0.007344003
SARS-CoV2 N,Q9Y3B9,9606.ENSP00000355899,RRP15,0.619030449,0.0,3.67,36.67,0.001331331
SARS-CoV2 N,Q9Y3U8,9606.ENSP00000464342,RPL36,0.631167513,0.0,6.33,34.83,0.006022759
SARS-CoV2 S,Q7Z5G4,9606.ENSP00000350378,GOLGA7,0.978892719,0.05,2.0,20.0,0.001471353
SARS-CoV2 S,Q9C0B5,9606.ENSP00000287169,ZDHHC5,0.982389013,0.0,6.0,60.0,0.000847135
SARS-CoV2 nsp1,P09884,9606.ENSP00000368349,POLA1,0.981264591,0.0,3.33,33.33,0.000277073
SARS-CoV2 nsp1,P49642,9606.ENSP00000350491,PRIM1,0.981268688,0.0,3.33,33.33,0.000964477
SARS-CoV2 nsp1,P49643,9606.ENSP00000484105,PRIM2,0.993975192,0.0,4.67,46.67,0.00113781
SARS-CoV2 nsp1,Q14181,9606.ENSP00000265465,POLA2,0.943678488,0.03,4.0,40.0,0.000786709
SARS-CoV2 nsp1,Q5T9A4,9606.ENSP00000311766,ATAD3B,0.628297452,0.0,27.67,276.67,0.005356585
SARS-CoV2 nsp1,Q8NBJ5,9606.ENSP00000252599,COLGALT1,0.794123974,0.0,7.33,73.33,0.001457908
SARS-CoV2 nsp1,Q99959,9606.ENSP00000070846,PKP2,0.964585351,0.0,43.0,430.0,0.006085025
SARS-CoV2 nsp10,O94973,9606.ENSP00000327694,AP2A2,0.99112813,0.0,5.67,56.67,0.001019399
SARS-CoV2 nsp10,P52434,9606.ENSP00000415536,POLR2H,0.61108081,0.0,2.67,26.67,0.003016723
SARS-CoV2 nsp10,P55789,9606.ENSP00000248114,GFER,0.965372815,0.0,4.67,46.67,0.003849873
SARS-CoV2 nsp10,Q969X5,9606.ENSP00000377374,ERGIC1,0.912239515,0.0,14.67,146.67,0.00856241
SARS-CoV2 nsp10,Q96CW1,9606.ENSP00000292807,AP2M1,0.982905884,0.0,3.0,30.0,0.00116193
SARS-CoV2 nsp10,Q9HAV7,9606.ENSP00000264954,GRPEL1,0.986587081,0.0,2.67,26.67,0.002083605
SARS-CoV2 nsp10,Q9NZL4,9606.ENSP00000255631,HSPBP1,0.621562245,0.0,4.67,46.67,0.002198396
SARS-CoV2 nsp11,O75347,9606.ENSP00000306362,TBCA,0.768344701,0.01,2.67,14.67,0.002292658
SARS-CoV2 nsp11,P30040,9606.ENSP00000261735,ERP29,0.603232514,0.05,2.0,20.0,0.000718121
SARS-CoV2 nsp11,Q5VWZ2,9606.ENSP00000355895,LYPLAL1,0.640411993,0.0,6.67,66.67,0.002697845
SARS-CoV2 nsp12,A3KN83,9606.ENSP00000387361,SBNO1,0.969888009,0.0,15.0,150.0,0.001605551
SARS-CoV2 nsp12,O14874,9606.ENSP00000378405,BCKDK,0.98581764,0.0,8.33,83.33,0.002969714
SARS-CoV2 nsp12,O43823,9606.ENSP00000269701,AKAP8,0.717059992,0.05,2.67,26.67,0.000590972
SARS-CoV2 nsp12,O75306,9606.ENSP00000356972,NDUFS2,0.651691522,0.0,7.33,73.33,0.002297841
SARS-CoV2 nsp12,O75489,9606.ENSP00000263774,NDUFS3,0.623198772,0.0,9.67,96.67,0.005358732
SARS-CoV2 nsp12,O75592,9606.ENSP00000444596,MYCBP2,0.987452704,0.0,6.33,63.33,0.000191813
SARS-CoV2 nsp12,O95391,9606.ENSP00000297151,SLU7,0.989493635,0.0,14.33,143.33,0.003570509
SARS-CoV2 nsp12,Q13546,9606.ENSP00000259808,RIPK1,0.9818645,0.0,8.0,80.0,0.001758862
SARS-CoV2 nsp12,Q14157,9606.ENSP00000389445,UBAP2L,0.791211852,0.0,15.33,153.33,0.002053664
SARS-CoV2 nsp12,Q16718,9606.ENSP00000417142,NDUFA5,0.633538981,0.0,5.67,56.67,0.007330432
SARS-CoV2 nsp12,Q2T9J0,9606.ENSP00000287078,TYSND1,0.993449369,0.0,11.33,113.33,0.002890669
SARS-CoV2 nsp12,Q5EBL8,9606.ENSP00000239666,PDZD11,0.961171536,0.05,2.0,20.0,0.002118415
SARS-CoV2 nsp12,Q5JSZ5,9606.ENSP00000349856,PRRC2B,0.843969576,0.0,9.0,33.0,0.000587785
SARS-CoV2 nsp12,Q5T6F2,9606.ENSP00000368540,UBAP2,0.89261208,0.0,9.33,93.33,0.001219303
SARS-CoV2 nsp12,Q5VUA4,9606.ENSP00000354964,ZNF318,0.993695111,0.0,9.67,96.67,0.00061157
SARS-CoV2 nsp12,Q6UUV7,9606.ENSP00000268184,CRTC3,0.991104307,0.0,7.67,76.67,0.001801404
SARS-CoV2 nsp12,Q70EL1,9606.ENSP00000345216,USP54,0.980964951,0.0,4.33,43.33,0.000374327
SARS-CoV2 nsp12,Q8IWR0,9606.ENSP00000379773,ZC3H7A,0.980817495,0.0,36.0,360.0,0.005476688
SARS-CoV2 nsp12,Q92615,9606.ENSP00000482767,LARP4B,0.983254345,0.0,8.0,80.0,0.001588555
SARS-CoV2 nsp12,Q96BP2,9606.ENSP00000361923,CHCHD1,0.693569803,0.0,3.67,36.67,0.004600434
SARS-CoV2 nsp12,Q96C92,9606.ENSP00000349929,ENTR1,0.609260475,0.05,2.0,20.0,0.000633655
SARS-CoV2 nsp12,Q96IZ5,9606.ENSP00000361557,RBM41,0.96685652,0.05,2.0,20.0,0.000710703
SARS-CoV2 nsp12,Q99081,9606.ENSP00000388940,TCF12,0.992827377,0.01,2.0,20.0,0.000424632
SARS-CoV2 nsp12,Q9H2H8,9606.ENSP00000286175,PPIL3,0.986726338,0.0,5.0,50.0,0.004385816
SARS-CoV2 nsp12,Q9HAU0,9606.ENSP00000404296,PLEKHA5,0.990541089,0.0,17.33,173.33,0.002243773
SARS-CoV2 nsp13,A7MCY6,9606.ENSP00000354777,TBKBP1,0.985289524,0.0,6.33,63.33,0.000873947
SARS-CoV2 nsp13,O14578,9606.ENSP00000376306,CIT,0.887314876,0.0,6.0,60.0,0.000258161
SARS-CoV2 nsp13,O75506,9606.ENSP00000392896,HSBP1,0.851502614,0.0,4.33,43.33,0.004929486
SARS-CoV2 nsp13,O95613,9606.ENSP00000352572,PCNT,0.971855938,0.0,181.0,1810.0,0.004573291
SARS-CoV2 nsp13,O95684,9606.ENSP00000355812,CEP43,0.981570359,0.05,2.0,20.0,0.000399215
SARS-CoV2 nsp13,P13861,9606.ENSP00000265563,PRKAR2A,0.897857211,0.0,20.0,200.0,0.00420983
SARS-CoV2 nsp13,P17612,9606.ENSP00000309591,PRKACA,0.880321174,0.0,5.33,53.33,0.001335212
SARS-CoV2 nsp13,P26038,9606.ENSP00000353408,MSN,0.619151652,0.0,14.67,146.67,0.002159982
SARS-CoV2 nsp13,P31323,9606.ENSP00000265717,PRKAR2B,0.983191506,0.0,6.67,66.67,0.001365617
SARS-CoV2 nsp13,P35241,9606.ENSP00000384136,RDX,0.912028315,0.0,7.0,70.0,0.000960225
SARS-CoV2 nsp13,P49454,9606.ENSP00000355922,CENPF,0.873840643,0.0,20.0,200.0,0.000485118
SARS-CoV2 nsp13,Q04724,9606.ENSP00000365682,TLE1,0.96917283,0.0,4.33,43.33,0.000494383
SARS-CoV2 nsp13,Q04726,9606.ENSP00000452871,TLE3,0.933626993,0.0,18.0,180.0,0.001968696
SARS-CoV2 nsp13,Q08117,9606.ENSP00000221561,TLE5,0.962431031,0.04,2.33,23.33,0.001008486
SARS-CoV2 nsp13,Q08378,9606.ENSP00000204726,GOLGA3,0.928738823,0.0,85.0,850.0,0.00473963
SARS-CoV2 nsp13,Q08379,9606.ENSP00000416097,GOLGA2,0.952311087,0.0,77.33,773.33,0.006527482
SARS-CoV2 nsp13,Q14789,9606.ENSP00000377275,GOLGB1,0.985604541,0.0,90.0,900.0,0.002366272
SARS-CoV2 nsp13,Q15154,9606.ENSP00000327077,PCM1,0.696288454,0.0,26.0,260.0,0.001085167
SARS-CoV2 nsp13,Q4V328,9606.ENSP00000365606,GRIPAP1,0.989815969,0.0,31.0,310.0,0.003117841
SARS-CoV2 nsp13,Q5VT06,9606.ENSP00000356579,CEP350,0.86755993,0.0,5.67,56.67,0.000149554
SARS-CoV2 nsp13,Q5VU43,9606.ENSP00000358363,PDE4DIP,0.979124391,0.0,23.67,236.67,0.000864246
SARS-CoV2 nsp13,Q66GS9,9606.ENSP00000257287,CEP135,0.975292134,0.0,6.33,63.33,0.000474585
SARS-CoV2 nsp13,Q76N32,9606.ENSP00000367229,CEP68,0.879704216,0.03,3.0,30.0,0.000333211
SARS-CoV2 nsp13,Q7Z7A1,9606.ENSP00000362962,CNTRL,0.989917408,0.0,5.0,50.0,0.000175932
SARS-CoV2 nsp13,Q8IUD2,9606.ENSP00000468263,ERC1,0.990718127,0.0,24.0,240.0,0.00181899
SARS-CoV2 nsp13,Q8IWJ2,9606.ENSP00000307939,GCC2,0.987387119,0.0,4.67,46.67,0.000233001
SARS-CoV2 nsp13,Q8N3C7,9606.ENSP00000327009,CLIP4,0.966944672,0.0,3.67,36.67,0.000448876
SARS-CoV2 nsp13,Q8N4C6,9606.ENSP00000371472,NIN,0.991583194,0.0,69.0,690.0,0.002777383
SARS-CoV2 nsp13,Q8N8E3,9606.ENSP00000376522,CEP112,0.964318835,0.05,2.33,23.33,0.000197998
SARS-CoV2 nsp13,Q8TD10,9606.ENSP00000333539,MIPOL1,0.98176996,0.0,18.0,180.0,0.003493143
SARS-CoV2 nsp13,Q92995,9606.ENSP00000263966,USP13,0.987514452,0.0,10.33,103.33,0.001021149
SARS-CoV2 nsp13,Q96CN9,9606.ENSP00000318821,GCC1,0.873361571,0.0,9.67,96.67,0.00106981
SARS-CoV2 nsp13,Q96N16,9606.ENSP00000386711,JAKMIP1,0.987966991,0.0,14.67,146.67,0.001983539
SARS-CoV2 nsp13,Q96SN8,9606.ENSP00000343818,CDK5RAP2,0.939307247,0.0,62.67,626.67,0.002774239
SARS-CoV2 nsp13,Q99996,9606.ENSP00000348573,AKAP9,0.990813809,0.0,109.0,1090.0,0.002355536
SARS-CoV2 nsp13,Q9BQQ3,9606.ENSP00000313869,GORASP1,0.986870312,0.0,5.33,53.33,0.001035288
SARS-CoV2 nsp13,Q9BQS8,9606.ENSP00000296137,FYCO1,0.733173301,0.05,2.0,20.0,0.000116657
SARS-CoV2 nsp13,Q9BV19,9606.ENSP00000361603,C1orf50,0.932056845,0.0,4.0,40.0,0.001697189
SARS-CoV2 nsp13,Q9BV73,9606.ENSP00000380661,CEP250,0.990717833,0.0,151.0,1510.0,0.005231767
SARS-CoV2 nsp13,Q9UHD2,9606.ENSP00000329967,TBK1,0.993970596,0.0,7.0,70.0,0.000797617
SARS-CoV2 nsp13,Q9UJC3,9606.ENSP00000360252,HOOK1,0.994048081,0.0,24.0,240.0,0.002730921
SARS-CoV2 nsp13,Q9Y2I6,9606.ENSP00000278886,NINL,0.987790569,0.0,45.33,453.33,0.002783228
SARS-CoV2 nsp14,P06280,9606.ENSP00000218516,GLA,0.841137578,0.0,25.67,256.67,0.009096561
SARS-CoV2 nsp14,P12268,9606.ENSP00000321584,IMPDH2,0.989667608,0.0,18.33,183.33,0.00537273
SARS-CoV2 nsp14,Q9NXA8,9606.ENSP00000476228,SIRT5,0.99363281,0.0,11.67,116.67,0.005680075
SARS-CoV2 nsp15,P61970,9606.ENSP00000219169,NUTF2,0.987886,0.0,2.33,23.33,0.002438419
SARS-CoV2 nsp15,P62330,9606.ENSP00000298316,ARF6,0.988131492,0.0,7.0,70.0,0.005263337
SARS-CoV2 nsp15,Q9H4P4,9606.ENSP00000342755,RNF41,0.993560817,0.0,21.33,213.33,0.008862298
SARS-CoV2 nsp15,Q9HB71,9606.ENSP00000356652,CACYBP,0.614994667,0.0,81.67,14.97,0.047630939
SARS-CoV2 nsp2,O14975,9606.ENSP00000267842,SLC27A2,0.915803486,0.0,4.67,46.67,0.000685514
SARS-CoV2 nsp2,O60573,9606.ENSP00000258416,EIF4E2,0.806833749,0.0,10.33,103.33,0.003817987
SARS-CoV2 nsp2,P16435,9606.ENSP00000419970,POR,0.710961769,0.0,3.33,33.33,0.000447205
SARS-CoV2 nsp2,P52306,9606.ENSP00000340454,RAP1GDS1,0.991635744,0.0,12.0,120.0,0.00180173
SARS-CoV2 nsp2,Q2M389,9606.ENSP00000484713,WASHC4,0.972115182,0.0,3.67,36.67,0.00028933
SARS-CoV2 nsp2,Q5T1M5,9606.ENSP00000238256,FKBP15,0.988056696,0.0,19.67,196.67,0.001473304
SARS-CoV2 nsp2,Q6Y7W6,9606.ENSP00000387170,GIGYF2,0.767224555,0.0,40.33,403.33,0.002786226
SARS-CoV2 nsp4,P14735,9606.ENSP00000265986,IDE,0.918031442,0.0,11.33,113.33,0.000974435
SARS-CoV2 nsp4,P62072,9606.ENSP00000257245,TIMM10,0.961471982,0.0,5.33,53.33,0.005221573
SARS-CoV2 nsp4,Q2TAA5,9606.ENSP00000430236,ALG11,0.72745605,0.0,7.0,70.0,0.001245352
SARS-CoV2 nsp4,Q6NUS6,9606.ENSP00000483364,TCTN3,0.683243942,0.05,2.0,20.0,0.000287356
SARS-CoV2 nsp4,Q8IWV8,9606.ENSP00000361990,UBR2,0.605329621,0.0,14.0,140.0,0.000700632
SARS-CoV2 nsp4,Q8TEM1,9606.ENSP00000254508,NUP210,0.710174697,0.0,6.33,63.33,0.000295842
SARS-CoV2 nsp4,Q96BQ5,9606.ENSP00000296824,CCDC127,0.643545769,0.0,3.0,30.0,0.001010526
SARS-CoV2 nsp4,Q9BSF4,9606.ENSP00000270502,TIMM29,0.986980311,0.0,7.67,76.67,0.002598016
SARS-CoV2 nsp4,Q9NVH1,9606.ENSP00000366800,DNAJC11,0.726866873,0.0,11.33,113.33,0.001777733
SARS-CoV2 nsp4,Q9Y5J6,9606.ENSP00000254616,TIMM10B,0.985104055,0.0,3.0,30.0,0.00254824
SARS-CoV2 nsp4,Q9Y5J7,9606.ENSP00000378588,TIMM9,0.913806284,0.0,4.0,40.0,0.003954007
SARS-CoV2 nsp5,Q92769,9606.ENSP00000430432,HDAC2,0.993708403,0.01,2.0,20.0,0.000629803
SARS-CoV2 nsp5_C145A,P07203,9606.ENSP00000407375,GPX1,0.97684084,0.0,15.67,156.67,0.017336732
SARS-CoV2 nsp5_C145A,Q9NXH9,9606.ENSP00000466967,TRMT1,0.984315505,0.0,7.67,76.67,0.00257108
SARS-CoV2 nsp6,O75964,9606.ENSP00000300688,ATP5MG,0.717265558,0.0,6.67,66.67,0.005464738
SARS-CoV2 nsp6,P56385,9606.ENSP00000306003,ATP5ME,0.687285485,0.0,2.33,23.33,0.002840868
SARS-CoV2 nsp6,Q15904,9606.ENSP00000358777,ATP6AP1,0.989106922,0.0,5.0,50.0,0.000906989
SARS-CoV2 nsp6,Q99720,9606.ENSP00000277010,SIGMAR1,0.842213253,0.0,5.0,50.0,0.001873343
SARS-CoV2 nsp6,Q9H2J7,9606.ENSP00000266682,SLC6A15,0.684980461,0.0,4.33,43.33,0.00049669
SARS-CoV2 nsp6,Q9H7F0,9606.ENSP00000416508,ATP13A3,0.805525853,0.0,5.67,56.67,0.000389227
SARS-CoV2 nsp7,O00116,9606.ENSP00000264167,AGPS,0.826490325,0.0,7.67,76.67,0.001243175
SARS-CoV2 nsp7,O14929,9606.ENSP00000264108,HAT1,0.633669948,0.01,2.0,11.0,0.000518682
SARS-CoV2 nsp7,O43169,9606.ENSP00000308430,CYB5B,0.80351019,0.0,3.33,33.33,0.002326761
SARS-CoV2 nsp7,O95573,9606.ENSP00000350012,ACSL3,0.897068932,0.0,4.33,43.33,0.000647443
SARS-CoV2 nsp7,P00387,9606.ENSP00000354468,CYB5R3,0.956349351,0.0,7.33,73.33,0.002644292
SARS-CoV2 nsp7,P09669,9606.ENSP00000428895,COX6C,0.631737154,0.0,6.33,63.33,0.009389725
SARS-CoV2 nsp7,P11233,9606.ENSP00000005257,RALA,0.750366485,0.0,2.33,23.33,0.001262855
SARS-CoV2 nsp7,P21964,9606.ENSP00000354511,COMT,0.745231765,0.04,2.0,20.0,0.000728892
SARS-CoV2 nsp7,P51148,9606.ENSP00000447053,RAB5C,0.87908593,0.0,8.0,80.0,0.004024585
SARS-CoV2 nsp7,P51149,9606.ENSP00000265062,RAB7A,0.972724229,0.0,10.67,106.67,0.005481036
SARS-CoV2 nsp7,P57105,9606.ENSP00000256366,SYNJ2BP,0.654145327,0.05,2.0,20.0,0.001427283
SARS-CoV2 nsp7,P61006,9606.ENSP00000300935,RAB8A,0.895744596,0.05,2.33,23.33,0.001156545
SARS-CoV2 nsp7,P61019,9606.ENSP00000262646,RAB2A,0.97919572,0.05,2.0,20.0,0.000976207
SARS-CoV2 nsp7,P61026,9606.ENSP00000264710,RAB10,0.981443071,0.0,3.0,30.0,0.001634684
SARS-CoV2 nsp7,P61106,9606.ENSP00000362946,RAB14,0.750712826,0.0,6.67,66.67,0.003246643
SARS-CoV2 nsp7,P61586,9606.ENSP00000400175,RHOA,0.829029399,0.05,2.0,20.0,0.001072311
SARS-CoV2 nsp7,P62820,9606.ENSP00000387286,RAB1A,0.935289593,0.0,4.0,40.0,0.002019083
SARS-CoV2 nsp7,P62873,9606.ENSP00000481878,GNB1,0.839532136,0.0,2.67,26.67,0.000832855
SARS-CoV2 nsp7,P63218,9606.ENSP00000359675,GNG5,0.817631566,0.05,2.0,20.0,0.003348517
SARS-CoV2 nsp7,Q12907,9606.ENSP00000303366,LMAN2,0.725773983,0.0,7.0,70.0,0.002081036
SARS-CoV2 nsp7,Q13724,9606.ENSP00000233616,MOGS,0.782330987,0.0,27.67,276.67,0.00351299
SARS-CoV2 nsp7,Q5JTV8,9606.ENSP00000435365,TOR1AIP1,0.74516805,0.05,2.0,20.0,0.000374396
SARS-CoV2 nsp7,Q5VT66,9606.ENSP00000355877,MTARC1,0.939721024,0.0,6.33,63.33,0.002089701
SARS-CoV2 nsp7,Q6IAN0,9606.ENSP00000378887,DHRS7B,0.60582961,0.0,10.0,100.0,0.003285494
SARS-CoV2 nsp7,Q6P1Q0,9606.ENSP00000389903,LETMD1,0.686459543,0.0,4.0,40.0,0.001181192
SARS-CoV2 nsp7,Q6ZRP7,9606.ENSP00000351536,QSOX2,0.794325146,0.03,4.33,43.33,0.000627336
