identifier,string_name
Q96B26,9606.ENSP00000374354
Q96I59,9606.ENSP00000281038
Q9BSC4,9606.ENSP00000371101
Q9H6F5,9606.ENSP00000227520
Q9H8H2,9606.ENSP00000361232
Q9HD40,9606.ENSP00000371535
Q9NQT4,9606.ENSP00000221233
Q9NQT5,9606.ENSP00000323046
Q9NY61,9606.ENSP00000477848
Q9UHB9,9606.ENSP00000312066
Q9ULT8,9606.ENSP00000382269
Q9Y399,9606.ENSP00000360850
A1KXE4,9606.ENSP00000387051
O00142,9606.ENSP00000299697
P13984,9606.ENSP00000340823
P35555,9606.ENSP00000325527
P35556,9606.ENSP00000424571
P35658,9606.ENSP00000352400
P37198,9606.ENSP00000471191
P51114,9606.ENSP00000350170
P61962,9606.ENSP00000483236
Q15056,9606.ENSP00000265753
Q7Z3B4,9606.ENSP00000264883
Q86YT6,9606.ENSP00000261537
Q8N0X7,9606.ENSP00000414147
Q8TD19,9606.ENSP00000238616
Q96F45,9606.ENSP00000361602
Q99567,9606.ENSP00000458954
Q9BVL2,9606.ENSP00000371155
Q9NZL9,9606.ENSP00000325425
Q9UBX5,9606.ENSP00000345008
P50897,9606.ENSP00000394863
P55072,9606.ENSP00000351777
P62877,9606.ENSP00000216225
Q13617,9606.ENSP00000444856
Q15369,9606.ENSP00000478121
Q15370,9606.ENSP00000262306
Q3KQU3,9606.ENSP00000362244
Q9BU02,9606.ENSP00000288014
Q9C0D3,9606.ENSP00000294353
Q9Y5J9,9606.ENSP00000438455
P09601,9606.ENSP00000216117
Q14126,9606.ENSP00000261590
Q8IWR1,9606.ENSP00000311219
Q8N6S5,9606.ENSP00000315357
Q96JC1,9606.ENSP00000335193
Q96S66,9606.ENSP00000349456
Q9H270,9606.ENSP00000481126
Q9UH99,9606.ENSP00000385616
Q9Y673,9606.ENSP00000239891
Q9UJZ1,9606.ENSP00000348886
P52948,9606.ENSP00000316032
P78406,9606.ENSP00000379182
Q8NBM4,9606.ENSP00000383911
Q9NZJ7,9606.ENSP00000362730
O00410,9606.ENSP00000261574
O75155,9606.ENSP00000387641
O94822,9606.ENSP00000478783
P22234,9606.ENSP00000382595
Q5VYK3,9606.ENSP00000259335
Q6P3X3,9606.ENSP00000313953
Q7Z4Q2,9606.ENSP00000299192
Q8TEX9,9606.ENSP00000346453
Q92973,9606.ENSP00000336712
Q9H583,9606.ENSP00000355541
Q9NU22,9606.ENSP00000358400
Q9UIA9,9606.ENSP00000252512
Q9Y5L0,9606.ENSP00000265388
O00469,9606.ENSP00000282903
O14656,9606.ENSP00000345719
O60942,9606.ENSP00000358497
O76061,9606.ENSP00000265087
P00750,9606.ENSP00000220809
P05556,9606.ENSP00000379350
P0C7P0,9606.ENSP00000483781
P11717,9606.ENSP00000349437
P12109,9606.ENSP00000355180
P15151,9606.ENSP00000402060
P26358,9606.ENSP00000352516
P28300,9606.ENSP00000231004
P29122,9606.ENSP00000482760
P58166,9606.ENSP00000266646
P61916,9606.ENSP00000451112
Q00587,9606.ENSP00000249014
Q02809,9606.ENSP00000196061
Q08431,9606.ENSP00000268150
Q13438,9606.ENSP00000318165
Q13443,9606.ENSP00000419446
Q14244,9606.ENSP00000482335
Q15818,9606.ENSP00000307549
Q3SY69,9606.ENSP00000258494
Q5T4S7,9606.ENSP00000364403
Q6UW63,9606.ENSP00000365172
Q7Z4H8,9606.ENSP00000315386
Q86YB8,9606.ENSP00000346635
Q8IV08,9606.ENSP00000387050
Q8IWF2,9606.ENSP00000380401
Q8IZ52,9606.ENSP00000243776
Q8N0Z8,9606.ENSP00000368318
Q8N766,9606.ENSP00000420608
Q92820,9606.ENSP00000260118
Q96AY3,9606.ENSP00000317232
Q96DZ1,9606.ENSP00000185150
Q96F46,9606.ENSP00000320936
Q96IV0,9606.ENSP00000280700
Q96MM7,9606.ENSP00000429473
Q99470,9606.ENSP00000247020
Q99519,9606.ENSP00000364782
Q99988,9606.ENSP00000252809
Q9BRN9,9606.ENSP00000330433
Q9BS26,9606.ENSP00000262455
Q9BZQ6,9606.ENSP00000318147
Q9H173,9606.ENSP00000378294
Q9H488,9606.ENSP00000364902
Q9H4F8,9606.ENSP00000355110
Q9H8W4,9606.ENSP00000322373
Q9NXK8,9606.ENSP00000247977
Q9NYU1,9606.ENSP00000365938
Q9P2E5,9606.ENSP00000035307
Q9UHI8,9606.ENSP00000284984
Q9Y4L1,9606.ENSP00000480150
Q9Y680,9606.ENSP00000413152
O14745,9606.ENSP00000262613
O43633,9606.ENSP00000469240
O75534,9606.ENSP00000481762
O94826,9606.ENSP00000284320
P13995,9606.ENSP00000377617
P27448,9606.ENSP00000411397
Q7KZI7,9606.ENSP00000385751
Q9H2P9,9606.ENSP00000359127
Q9H773,9606.ENSP00000322524
Q9P0L2,9606.ENSP00000483424
Q9UKA9,9606.ENSP00000359216
Q9UL15,9606.ENSP00000338814
O00124,9606.ENSP00000479216
O15321,9606.ENSP00000261789
O43292,9606.ENSP00000347206
O76024,9606.ENSP00000226760
O94766,9606.ENSP00000265471
O95864,9606.ENSP00000278840
P33527,9606.ENSP00000382342
P49810,9606.ENSP00000355747
P55085,9606.ENSP00000296677
P56589,9606.ENSP00000356563
P98194,9606.ENSP00000421326
Q10471,9606.ENSP00000355632
Q12770,9606.ENSP00000265565
Q2PZI1,9606.ENSP00000308695
Q5BJF2,9606.ENSP00000226230
Q5H8A4,9606.ENSP00000415203
Q6NXT4,9606.ENSP00000368648
Q6NXT6,9606.ENSP00000385347
Q7Z2K6,9606.ENSP00000340427
Q86UT6,9606.ENSP00000387334
Q86V85,9606.ENSP00000366157
Q86VR2,9606.ENSP00000309432
Q8N2K0,9606.ENSP00000365725
Q8TEQ8,9606.ENSP00000367880
Q96K12,9606.ENSP00000443291
Q96S52,9606.ENSP00000309430
Q9BQ95,9606.ENSP00000270517
Q9BVC6,9606.ENSP00000227525
Q9BVK2,9606.ENSP00000299626
Q9BXJ8,9606.ENSP00000473983
Q9GZM5,9606.ENSP00000361499
Q9GZU3,9606.ENSP00000338165
Q9H3K2,9606.ENSP00000361207
Q9H4I3,9606.ENSP00000305664
Q9H845,9606.ENSP00000312618
Q9NV92,9606.ENSP00000480798
Q9UKV5,9606.ENSP00000290649
Q9UL03,9606.ENSP00000310260
Q9Y276,9606.ENSP00000413908
Q9Y375,9606.ENSP00000260361
Q9Y3A6,9606.ENSP00000359305
Q9Y6M9,9606.ENSP00000276689
